participant_code,trader_uuid,id_in_group,trading_session_uuid,treatment,market_design,group_composition,round_number_raw,repetition,gamified,hybrid,market_id
ggq5fqn1,77bebd92-5e1a-445f-b2d1-79138b8028c0,1,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
7uj99w7k,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,2,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
rhxwy9vc,8ec5d82c-c27e-40ec-8f69-fe61237f5412,3,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
pno5o92p,e5700b75-5d29-45d7-bafa-2e801b0e9e82,4,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,5,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
8pfnya23,817c3405-e3a7-4f12-b0aa-18682cc45403,6,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,1,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
ggq5fqn1,77bebd92-5e1a-445f-b2d1-79138b8028c0,1,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,2,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
7uj99w7k,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,2,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,2,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
rhxwy9vc,8ec5d82c-c27e-40ec-8f69-fe61237f5412,3,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,2,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
pno5o92p,e5700b75-5d29-45d7-bafa-2e801b0e9e82,4,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,2,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,5,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,2,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
8pfnya23,817c3405-e3a7-4f12-b0aa-18682cc45403,6,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,2,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
ggq5fqn1,77bebd92-5e1a-445f-b2d1-79138b8028c0,1,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,3,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
7uj99w7k,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,2,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,3,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
rhxwy9vc,8ec5d82c-c27e-40ec-8f69-fe61237f5412,3,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,3,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
pno5o92p,e5700b75-5d29-45d7-bafa-2e801b0e9e82,4,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,3,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,5,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,3,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
8pfnya23,817c3405-e3a7-4f12-b0aa-18682cc45403,6,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,3,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
ggq5fqn1,77bebd92-5e1a-445f-b2d1-79138b8028c0,1,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,4,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
7uj99w7k,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,2,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,4,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
rhxwy9vc,8ec5d82c-c27e-40ec-8f69-fe61237f5412,3,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,4,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
pno5o92p,e5700b75-5d29-45d7-bafa-2e801b0e9e82,4,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,4,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,5,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,4,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
8pfnya23,817c3405-e3a7-4f12-b0aa-18682cc45403,6,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,4,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
ggq5fqn1,77bebd92-5e1a-445f-b2d1-79138b8028c0,1,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,5,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
7uj99w7k,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,2,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,5,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
rhxwy9vc,8ec5d82c-c27e-40ec-8f69-fe61237f5412,3,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,5,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
pno5o92p,e5700b75-5d29-45d7-bafa-2e801b0e9e82,4,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,5,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,5,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,5,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
8pfnya23,817c3405-e3a7-4f12-b0aa-18682cc45403,6,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,5,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
ggq5fqn1,77bebd92-5e1a-445f-b2d1-79138b8028c0,1,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,6,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
7uj99w7k,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,2,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,6,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
rhxwy9vc,8ec5d82c-c27e-40ec-8f69-fe61237f5412,3,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,6,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
pno5o92p,e5700b75-5d29-45d7-bafa-2e801b0e9e82,4,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,6,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,5,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,6,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
8pfnya23,817c3405-e3a7-4f12-b0aa-18682cc45403,6,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,6,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
ggq5fqn1,77bebd92-5e1a-445f-b2d1-79138b8028c0,1,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,7,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
7uj99w7k,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,2,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,7,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
rhxwy9vc,8ec5d82c-c27e-40ec-8f69-fe61237f5412,3,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,7,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
pno5o92p,e5700b75-5d29-45d7-bafa-2e801b0e9e82,4,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,7,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,5,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,7,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
8pfnya23,817c3405-e3a7-4f12-b0aa-18682cc45403,6,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,7,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
ggq5fqn1,77bebd92-5e1a-445f-b2d1-79138b8028c0,1,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,8,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
7uj99w7k,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,2,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,8,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
rhxwy9vc,8ec5d82c-c27e-40ec-8f69-fe61237f5412,3,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,8,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
pno5o92p,e5700b75-5d29-45d7-bafa-2e801b0e9e82,4,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,8,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
3qk5kred,914e1fc2-9d3c-4503-8f28-e329d90df453,5,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,8,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
8pfnya23,817c3405-e3a7-4f12-b0aa-18682cc45403,6,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,8,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
ggq5fqn1,77bebd92-5e1a-445f-b2d1-79138b8028c0,1,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,9,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
7uj99w7k,4c38c903-37b1-4f90-bf9a-1978f7df9fd0,2,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,9,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
rhxwy9vc,8ec5d82c-c27e-40ec-8f69-fe61237f5412,3,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,9,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
pno5o92p,e5700b75-5d29-45d7-bafa-2e801b0e9e82,4,4397451b-fa5f-4b8f-b86e-278d272e1d68,gh,gamified,human_only,9,1,1,0,4397451b-fa5f-4b8f-b86e-278d272e1d68
